// Compost colors for create_tank_defenses. You may add your own colors, change existing ones, or remove colors that aren't needed.
alpha_titanium_dust, #55a5ff
alpha_titanium_ingot, #439bfc
alpha_titanium_nugget, #5cb6ff
alpha_titanium_sheet, #3c96f8
aluminum_dust, #e1e1e1
aluminum_ingot, #ffffff
aluminum_nugget, #ffffff
aluminum_sheet, #ffffff
ash_pile, #5f5f5f
boiling_mechanism, #f4c5b5
capacitor_mechanism, #ffd272
carbon_plate, #626262
ceramic_plate, #9db6be
coal_fluid_bucket, #8c8c8c
coke_coal, #626262
creosote_oil_bucket, #9a8978
crushed_raw_aluminum, #ffffff
crushed_raw_titanium, #9bc2ff
electrical_conductive_plate, #ff8946
incomplete_boiling_mechanism_phase_one, #ca685f
incomplete_boiling_mechanism_phase_three, #fbcdbc
incomplete_boiling_mechanism_phase_two, #c27066
incomplete_capacitor_mechanism_phase_one, #ffb41f
incomplete_capacitor_mechanism_phase_three, #ffbc5c
incomplete_capacitor_mechanism_phase_two, #ffbb3e
iron_dust, #aeaeae
iron_oxide_dust, #822a2a
plastanium_dust, #beffbe
plastanium_ingot, #a5ffa5
plastanium_nugget, #79e879
plastanium_sheet, #a0ffa0
quartz_plate, #fff4dd
raw_aluminum, #ffffff
raw_titanium, #91b6ff
slag_scraps, #e68734
steel_cage_armor, #474747
steel_caramel_cage_armor, #dd5f1b
steel_caramel_reinforced_cage_armor, #c2440a
steel_cell_cage_armor, #ff7aff
steel_cell_reinforced_cage_armor, #ff79ff
steel_ceramic_cage_armor, #19c3e1
steel_ceramic_reinforced_cage_armor, #1cc2e0
steel_charcoal_cage_armor, #323232
steel_charcoal_reinforced_cage_armor, #262626
steel_cream_cage_armor, #e6da94
steel_cream_reinforced_cage_armor, #e4d993
steel_crimson_cage_armor, #9e0f0f
steel_desert_cage_armor, #ffffca
steel_desert_reinforced_cage_armor, #fffec3
steel_dust, #727272
steel_dusty_cage_armor, #ebcaa2
steel_dusty_reinforced_cage_armor, #d3b28a
steel_foggy_cage_armor, #5f6b98
steel_foggy_reinforced_cage_armor, #475280
steel_forest_cage_armor, #548028
steel_forest_reinforced_cage_armor, #5e8d34
steel_ingot, #838383
steel_mesa_cage_armor, #ff9029
steel_mesa_reinforced_cage_armor, #ffa443
steel_military_cage_armor, #526526
steel_military_reinforced_cage_armor, #516426
steel_morning_cage_armor, #e6b219
steel_morning_reinforced_cage_armor, #e4b11c
steel_moss_cage_armor, #9ad062
steel_moss_reinforced_cage_armor, #82b84a
steel_muddy_cage_armor, #7d5a34
steel_muddy_reinforced_cage_armor, #724e29
steel_nugget, #6e6e6e
